,Beer_Name,Beer_ID,Brew_ID,ABV,IBU,Style,Ounces,Brewery_Name,City,State
1,Pub Beer,1436,409,0.05,21,American Pale Lager,12,10 Barrel Brewing Company,Bend, OR
2,Devil's Cup,2265,178,0.066,72,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
3,Rise of the Phoenix,2264,178,0.071,70,American IPA,12,18th Street Brewery,Gary, IN
4,Sinister,2263,178,0.09,85,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
5,Sex and Candy,2262,178,0.075,60,American IPA,12,18th Street Brewery,Gary, IN
6,Black Exodus,2261,178,0.077,65,Oatmeal Stout,12,18th Street Brewery,Gary, IN
7,Lake Street Express,2260,178,0.045,20,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
8,Foreman,2259,178,0.065,70,American Porter,12,18th Street Brewery,Gary, IN
9,Jade,2258,178,0.055,64,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
10,Cone Crusher,2131,178,0.086,35,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
11,Sophomoric Saison,2099,178,0.072,27,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
12,Regional Ring Of Fire,2098,178,0.073,93,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
13,Garce Selé,2097,178,0.069,65,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
14,Troll Destroyer,1980,178,0.085,23,Belgian IPA,12,18th Street Brewery,Gary, IN
15,Bitter Bitch,1979,178,0.061,60,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
16,Ginja Ninja,2318,155,0.06,55,Cider,12,2 Towns Ciderhouse,Corvallis, OR
17,Cherried Away,2170,155,0.06,64,Cider,12,2 Towns Ciderhouse,Corvallis, OR
18,Rhubarbarian,2169,155,0.06,69,Cider,12,2 Towns Ciderhouse,Corvallis, OR
19,BrightCider,1502,155,0.06,53,Cider,12,2 Towns Ciderhouse,Corvallis, OR
20,He Said Baltic-Style Porter,1593,369,0.082,88,Baltic Porter,12,21st Amendment Brewery,San Francisco, CA
21,He Said Belgian-Style Tripel,1592,369,0.082,80,Tripel,12,21st Amendment Brewery,San Francisco, CA
22,Lower De Boom,1036,369,0.099,92,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA
23,Fireside Chat,1024,369,0.079,45,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
24,Marooned On Hog Island,976,369,0.079,23,American Stout,12,21st Amendment Brewery,San Francisco, CA
25,Bitter American,876,369,0.044,42,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
26,Hell or High Watermelon Wheat (2009),802,369,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
27,Hell or High Watermelon Wheat (2009),801,369,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
28,21st Amendment Watermelon Wheat Beer (2006),800,369,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
29,21st Amendment IPA (2006),799,369,0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
30,Brew Free! or Die IPA (2008),797,369,0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
31,Brew Free! or Die IPA (2009),796,369,0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
32,Special Edition: Allies Win The War!,531,369,0.085,52,English Strong Ale,12,21st Amendment Brewery,San Francisco, CA
33,Hop Crisis,432,369,0.097,94,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco, CA
34,Bitter American (2011),353,369,0.044,42,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
35,Fireside Chat (2010),321,369,0.079,45,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
36,Back in Black,173,369,0.068,65,American Black Ale,12,21st Amendment Brewery,San Francisco, CA
37,Monk's Blood,11,369,0.083,35,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco, CA
38,Brew Free! or Die IPA,10,369,0.07,65,American IPA,12,21st Amendment Brewery,San Francisco, CA
39,Hell or High Watermelon Wheat,9,369,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
40,Bimini Twist,2519,68,0.07,82,American IPA,12,3 Daughters Brewing,St Petersburg, FL
41,Beach Blonde,2518,68,0.05,31,American Blonde Ale,12,3 Daughters Brewing,St Petersburg, FL
42,Rod Bender Red,2517,68,0.059,55,American Amber / Red Ale,12,3 Daughters Brewing,St Petersburg, FL
43,Passion Fruit Prussia,2545,61,0.035,11,Berliner Weissbier,12,4 Hands Brewing Company,Saint Louis, MO
44,Send Help,2544,61,0.045,18,American Blonde Ale,12,4 Hands Brewing Company,Saint Louis, MO
45,Cast Iron Oatmeal Brown,2324,61,0.055,28,American Brown Ale,12,4 Hands Brewing Company,Saint Louis, MO
46,Reprise Centennial Red,2288,61,0.06,55,American Amber / Red Ale,12,4 Hands Brewing Company,Saint Louis, MO
47,Alter Ego,2287,61,0.055,30,American Black Ale,12,4 Hands Brewing Company,Saint Louis, MO
48,Divided Sky,2286,61,0.065,55,American IPA,12,4 Hands Brewing Company,Saint Louis, MO
49,Resurrected,2285,61,0.065,25,American IPA,12,4 Hands Brewing Company,Saint Louis, MO
50,Contact High,1870,61,0.05,28,American Pale Wheat Ale,12,4 Hands Brewing Company,Saint Louis, MO
51,Galaxyfest,2603,28,0.065,115,American IPA,16,450 North Brewing Company,Columbus, IN
52,Citrafest,2602,28,0.05,45,American IPA,16,450 North Brewing Company,Columbus, IN
53,Barn Yeti,2220,28,0.09,60,Belgian Strong Dark Ale,16,450 North Brewing Company,Columbus, IN
54,Scarecrow,2219,28,0.069,65,American IPA,16,450 North Brewing Company,Columbus, IN
55,Ironman,2218,28,0.09,50,English Strong Ale,16,450 North Brewing Company,Columbus, IN
56,Honey Kolsch,2217,28,0.046,15,Kölsch,16,450 North Brewing Company,Columbus, IN
57,Copperhead Amber,2216,28,0.052,18,Belgian Dark Ale,16,450 North Brewing Company,Columbus, IN
58,Rude Parrot IPA,972,482,0.059,75,American IPA,16,7 Seas Brewing Company,Gig Harbor, WA
59,British Pale Ale (2010),866,482,0.054,30,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
60,British Pale Ale,48,482,0.054,30,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
61,Ballz Deep Double IPA,47,482,0.084,82,American Double / Imperial IPA,16,7 Seas Brewing Company,Gig Harbor, WA
62,Wolfman's Berliner,1583,374,0.038,37,Berliner Weissbier,12,7venth Sun,Dunedin, FL
63,Colorado Native,1165,463,0.055,26,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
64,Colorado Native (2011),431,463,0.055,26,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
65,Jockamo IPA,516,534,0.065,52,American IPA,12,Abita Brewing Company,Abita Springs, LA
66,Purple Haze,515,534,0.042,13,Fruit / Vegetable Beer,12,Abita Brewing Company,Abita Springs, LA
67,Abita Amber,514,534,0.045,17,American Amber / Red Lager,12,Abita Brewing Company,Abita Springs, LA
68,Citra Ass Down,2540,63,0.082,68,American IPA,16,Against The Grain Brewery,Louisville, KY
69,The Brown Note,2539,63,0.05,20,American Brown Ale,16,Against The Grain Brewery,Louisville, KY
70,Citra Ass Down,2686,2,0.08,68,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
71,London Balling,2685,2,0.125,80,English Barleywine,16,Against the Grain Brewery,Louisville, KY
72,35 K,2684,2,0.077,25,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY
73,A Beer,2683,2,0.042,42,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY
74,Rules are Rules,2682,2,0.05,25,German Pilsener,16,Against the Grain Brewery,Louisville, KY
75,Flesh Gourd'n,2681,2,0.066,21,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY
76,Sho'nuff,2680,2,0.04,13,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY
77,Bloody Show,2679,2,0.055,17,American Pilsner,16,Against the Grain Brewery,Louisville, KY
78,Rico Sauvin,2678,2,0.076,68,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
79,Coq de la Marche,2677,2,0.051,38,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY
80,Kamen Knuddeln,2676,2,0.065,77,American Wild Ale,16,Against the Grain Brewery,Louisville, KY
81,Pile of Face,2675,2,0.06,65,American IPA,16,Against the Grain Brewery,Louisville, KY
82,The Brown Note,2674,2,0.05,20,English Brown Ale,16,Against the Grain Brewery,Louisville, KY
83,Maylani's Coconut Stout,1594,368,0.053,35,American Stout,16,Airways Brewing Company,Kent, WA
84,Oatmeal PSA,1162,368,0.05,35,American Pale Ale (APA),16,Airways Brewing Company,Kent, WA
85,Pre Flight Pilsner,1137,368,0.052,33,American Pilsner,16,Airways Brewing Company,Kent, WA
86,P-Town Pilsner,2403,118,0.04,20,American Pilsner,12,Alameda Brewing,Portland, OR
87,Klickitat Pale Ale,2402,118,0.053,36,American Pale Ale (APA),12,Alameda Brewing,Portland, OR
88,Yellow Wolf Imperial IPA,2401,118,0.082,103,American Double / Imperial IPA,12,Alameda Brewing,Portland, OR
89,Freeride APA,1921,271,0.053,40,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau, AK
90,Alaskan Amber,1920,271,0.053,18,Altbier,12,Alaskan Brewing Company,Juneau, AK
91,Hopalicious,2501,74,0.057,13,American Pale Ale (APA),12,Ale Asylum,Madison, WI
92,Kentucky Kölsch,1535,389,0.043,28,Kölsch,16,Alltech's Lexington Brewing Company,Lexington, KY
93,Kentucky IPA,1149,389,0.065,65,American IPA,16,Alltech's Lexington Brewing Company,Lexington, KY
94,Dusty Trail Pale Ale,1474,402,0.054,35,American Pale Ale (APA),16,Amnesia Brewing Company,Washougal, WA
95,Damnesia,1473,402,0.062,68,American IPA,16,Amnesia Brewing Company,Washougal, WA
96,Desolation IPA,837,402,0.062,43,American IPA,16,Amnesia Brewing Company,Washougal, WA
97,Liberty Ale,2592,36,0.059,22,American IPA,12,Anchor Brewing Company,San Francisco, CA
98,IPA,2578,36,0.065,72,American IPA,12,Anchor Brewing Company,San Francisco, CA
99,Summer Wheat,2577,36,0.045,27,American Pale Wheat Ale,12,Anchor Brewing Company,San Francisco, CA
100,California Lager,2103,36,0.049,40,American Amber / Red Lager,12,Anchor Brewing Company,San Francisco, CA
101,Brotherhood Steam,2102,36,0.056,50,California Common / Steam Beer,12,Anchor Brewing Company,San Francisco, CA
102,Blood Orange Gose,2291,172,0.042,5,Gose,12,Anderson Valley Brewing Company,Boonville, CA
103,Keebarlin' Pale Ale,1818,172,0.042,44,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA
104,"the Kimmie, the Yink and the Holy Gose",1738,172,0.048,30,Gose,12,Anderson Valley Brewing Company,Boonville, CA
105,Fall Hornin',1563,172,0.06,20,Pumpkin Ale,12,Anderson Valley Brewing Company,Boonville, CA
106,Barney Flats Oatmeal Stout,1520,172,0.057,13,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
107,Summer Solstice,1350,172,0.056,4,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
108,Hop Ottin' IPA,1327,172,0.07,80,American IPA,12,Anderson Valley Brewing Company,Boonville, CA
109,Boont Amber Ale,1326,172,0.058,15,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
110,Barney Flats Oatmeal Stout,1221,172,0.057,13,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
111,El Steinber Dark Lager,1217,172,0.055,25,Vienna Lager,16,Anderson Valley Brewing Company,Boonville, CA
112,Boont Amber Ale (2010),811,172,0.058,15,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
113,Summer Solstice Cerveza Crema (2009),753,172,0.056,4,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
114,Barney Flats Oatmeal Stout (2012),572,172,0.057,13,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
115,Winter Solstice,523,172,0.069,6,Winter Warmer,12,Anderson Valley Brewing Company,Boonville, CA
116,Hop Ottin' IPA (2011),367,172,0.07,80,American IPA,12,Anderson Valley Brewing Company,Boonville, CA
117,Boont Amber Ale (2011),78,172,0.058,15,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
118,Summer Solstice (2011),77,172,0.056,4,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
119,Poleeko Gold Pale Ale (2009),76,172,0.055,28,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA
120,Charlie's Rye IPA,2337,147,0.06,104,American IPA,16,Angry Minnow,Hayward, WI
121,River Pig Pale Ale,410,543,0.054,45,American Pale Ale (APA),16,Angry Minnow Brewing Company,Hayward, WI
122,Oaky's Oatmeal Stout,409,543,0.047,10,Oatmeal Stout,16,Angry Minnow Brewing Company,Hayward, WI
123,Angry Orchard Apple Ginger,1294,435,0.05,20,Cider,16,Angry Orchard Cider Company,Cincinnati, OH
124,Angry Orchard Crisp Apple,1293,435,0.05,20,Cider,16,Angry Orchard Cider Company,Cincinnati, OH
125,Angry Orchard Crisp Apple,1292,435,0.05,19,Cider,12,Angry Orchard Cider Company,Cincinnati, OH
126,Golden One,2207,194,0.068,70,Belgian Pale Ale,12,Anthem Brewing Company,Oklahoma City, OK
127,Arjuna,2040,194,0.06,24,Witbier,12,Anthem Brewing Company,Oklahoma City, OK
128,Uroboros,2039,194,0.085,25,American Stout,12,Anthem Brewing Company,Oklahoma City, OK
129,Long Leaf,2511,70,0.071,75,American IPA,16,Appalachian Mountain Brewery,Boone, NC
130,Honey Badger Blonde,2510,70,0.047,19,American Blonde Ale,16,Appalachian Mountain Brewery,Boone, NC
131,Porter (a/k/a Black Gold Porter),2509,70,0.06,23,American Porter,16,Appalachian Mountain Brewery,Boone, NC
132,Sky High Rye,413,542,0.06,55,American Pale Ale (APA),12,Arcadia Brewing Company,Battle Creek, MI
133,Whitsun,390,542,0.062,17,American Pale Wheat Ale,12,Arcadia Brewing Company,Battle Creek, MI
134,On-On Ale (2008),735,514,0.052,36,American Pale Ale (APA),12,Arctic Craft Brewery,Colorado Springs, CO
135,Quakertown Stout,1333,427,0.092,50,American Double / Imperial Stout,12,Armadillo Ale Works,Denton, TX
136,Greenbelt Farmhouse Ale,1332,427,0.051,20,Saison / Farmhouse Ale,12,Armadillo Ale Works,Denton, TX
137,Mo's Gose,1172,462,0.052,10,Gose,16,Armstrong Brewing Company,South San Francisco, CA
138,Green Bullet Organic India Pale Ale,1322,430,0.07,45,American IPA,16,Asher Brewing Company,Boulder, CO
139,Rocket Girl,550,529,0.032,27,Kölsch,12,Asheville Brewing Company,Asheville, NC
140,Ninja Porter,429,529,0.053,26,American Porter,12,Asheville Brewing Company,Asheville, NC
141,Shiva IPA,428,529,0.06,69,American IPA,12,Asheville Brewing Company,Asheville, NC
142,Aslan Kölsch,1640,354,0.048,30,Kölsch,16,Aslan Brewing Company,Bellingham, WA
143,Aslan IPA,1639,354,0.077,65,American IPA,16,Aslan Brewing Company,Bellingham, WA
144,Aslan Amber,1638,354,0.077,93,American Amber / Red Ale,16,Aslan Brewing Company,Bellingham, WA
145,This Season's Blonde,597,524,0.056,27,American Blonde Ale,12,Aspen Brewing Company,Aspen, CO
146,Independence Pass Ale,596,524,0.07,67,American IPA,12,Aspen Brewing Company,Aspen, CO
147,Trolley Stop Stout,1580,375,0.057,40,American Stout,12,Astoria Brewing Company,Astoria, OR
148,Bitter Bitch Imperial IPA,980,375,0.082,138,American Double / Imperial IPA,12,Astoria Brewing Company,Astoria, OR
149,Poop Deck Porter,979,375,0.062,35,American Porter,12,Astoria Brewing Company,Astoria, OR
150,Old Red Beard Amber Ale,978,375,0.06,35,American Amber / Red Ale,12,Astoria Brewing Company,Astoria, OR
151,Hop A-Peel,2503,73,0.075,115,American Double / Imperial IPA,16,Atwater Brewery,Detroit, MI
152,Vanilla Java Porter,2502,73,0.055,12,American Porter,16,Atwater Brewery,Detroit, MI
153,Michelada,2495,73,0.052,27,Fruit / Vegetable Beer,16,Atwater Brewery,Detroit, MI
154,Dirty Blonde Ale,534,73,0.045,8,American Blonde Ale,12,Atwater Brewery,Detroit, MI
155,Grand Circus IPA,528,73,0.05,62,American IPA,12,Atwater Brewery,Detroit, MI
156,Atwater's Lager,527,73,0.05,12,Munich Helles Lager,12,Atwater Brewery,Detroit, MI
157,Heavy Machinery IPA Series #1: Heavy Fist,1409,414,0.07,23,American Black Ale,16,Austin Beerworks,Austin, TX
158,Fire Eagle IPA,343,414,0.062,45,American IPA,12,Austin Beerworks,Austin, TX
159,Peacemaker,342,414,0.051,34,American Pale Ale (APA),12,Austin Beerworks,Austin, TX
160,Pearl-Snap,341,414,0.053,42,German Pilsener,12,Austin Beerworks,Austin, TX
161,Black Thunder,340,414,0.052,49,Schwarzbier,12,Austin Beerworks,Austin, TX
162,Raja,2589,38,0.08,16,American Double / Imperial IPA,12,Avery Brewing Company,Boulder, CO
163,Perzik Saison,2546,38,0.064,75,Saison / Farmhouse Ale,12,Avery Brewing Company,Boulder, CO
164,Avery Joe’s Premium American Pilsner,146,38,0.047,42,German Pilsener,12,Avery Brewing Company,Boulder, CO
165,White Rascal,108,38,0.056,10,Witbier,12,Avery Brewing Company,Boulder, CO
166,Avery India Pale Ale,107,38,0.063,69,American IPA,12,Avery Brewing Company,Boulder, CO
167,Ellie’s Brown Ale,106,38,0.055,17,American Brown Ale,12,Avery Brewing Company,Boulder, CO
168,Pumpkin Beast,1620,361,0.062,17,Pumpkin Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
169,OktoberBeast,1579,361,0.072,22,Märzen / Oktoberfest,12,Aviator Brewing Company,Fuquay-Varina, NC
170,Mad Beach,1228,361,0.048,23,American Pale Wheat Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
171,Hog Wild India Pale Ale,705,361,0.067,44,American IPA,12,Aviator Brewing Company,Fuquay-Varina, NC
172,Devils Tramping Ground Tripel,704,361,0.092,5,Tripel,12,Aviator Brewing Company,Fuquay-Varina, NC
173,Hot Rod Red,702,361,0.061,41,American Amber / Red Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
174,Palate Mallet,2058,236,0.086,90,American Double / Imperial IPA,12,Back East Brewing Company,Bloomfield, CT
175,Back East Porter,1483,236,0.06,55,American Porter,12,Back East Brewing Company,Bloomfield, CT
176,Back East Golden Ale,1426,236,0.049,8,American Blonde Ale,12,Back East Brewing Company,Bloomfield, CT
177,Misty Mountain IPA,1132,236,0.07,20,American IPA,12,Back East Brewing Company,Bloomfield, CT
178,Back East Ale,1131,236,0.05,19,American Amber / Red Ale,12,Back East Brewing Company,Bloomfield, CT
179,Truck Stop Honey Brown Ale,1876,287,0.06,65,English Brown Ale,12,Back Forty Beer Company,Gadsden, AL
180,Naked Pig Pale Ale,1875,287,0.06,43,American Pale Ale (APA),12,Back Forty Beer Company,Gadsden, AL
181,Topcutter India Pale Ale,966,484,0.068,70,American IPA,12,Bale Breaker Brewing Company,Yakima, WA
182,Field 41 Pale Ale,965,484,0.044,38,American Pale Ale (APA),12,Bale Breaker Brewing Company,Yakima, WA
183,Grapefruit Sculpin,2593,35,0.07,70,American IPA,12,Ballast Point Brewing Company,San Diego, CA
184,Even Keel,2105,35,0.038,40,American IPA,12,Ballast Point Brewing Company,San Diego, CA
185,Ballast Point Pale Ale,1401,35,0.052,23,Kölsch,12,Ballast Point Brewing Company,San Diego, CA
186,Big Eye India Pale Ale,1400,35,0.07,75,American IPA,12,Ballast Point Brewing Company,San Diego, CA
187,Longfin Lager,1019,35,0.046,11,Munich Helles Lager,12,Ballast Point Brewing Company,San Diego, CA
188,Sculpin IPA,1018,35,0.07,70,American IPA,12,Ballast Point Brewing Company,San Diego, CA
189,All Nighter Ale,1776,319,0.045,35,Extra Special / Strong Bitter (ESB),12,Banner Beer Company,Williamsburg, MA
190,Banner American Rye,1644,319,0.045,20,Rye Beer,12,Banner Beer Company,Williamsburg, MA
191,Banner American Ale,1643,319,0.035,45,American Amber / Red Ale,12,Banner Beer Company,Williamsburg, MA
192,Thai.p.a,2618,21,0.07,46,American IPA,16,Bare Hands Brewery,Granger, IN
193,Barrio Blanco,2005,252,0.06,60,American IPA,12,Barrio Brewing Company,Tucson, AZ
194,Barrio Tucson Blonde,1343,252,0.045,12,American Blonde Ale,12,Barrio Brewing Company,Tucson, AZ
195,Hop in the ‘Pool Helles,2404,117,0.049,22,American Pilsner,12,Base Camp Brewing Co.,Portland, OR
196,Ultra Gnar Gnar IPA,2323,117,0.067,60,American IPA,12,Base Camp Brewing Co.,Portland, OR
197,In-Tents India Pale Lager,2189,117,0.068,62,American Pale Lager,12,Base Camp Brewing Co.,Portland, OR
198,Lost Meridian Wit,2188,117,0.05,20,Witbier,12,Base Camp Brewing Co.,Portland, OR
199,Celestial Meridian Cascadian Dark Lager,2187,117,0.051,45,Euro Dark Lager,12,Base Camp Brewing Co.,Portland, OR
200,Wagon Party,1966,259,0.054,55,California Common / Steam Beer,12,Bauhaus Brew Labs,Minneapolis, MN
201,Sky-Five,1965,259,0.067,70,American IPA,12,Bauhaus Brew Labs,Minneapolis, MN
202,Stargrazer,1964,259,0.05,28,Schwarzbier,12,Bauhaus Brew Labs,Minneapolis, MN
203,Wonderstuff,1963,259,0.054,48,German Pilsener,12,Bauhaus Brew Labs,Minneapolis, MN
204,Tarnation California-Style Lager,1855,293,0.053,32,California Common / Steam Beer,12,Baxter Brewing Company,Lewiston, ME
205,On the Count of 3 (2015),1778,293,0.07,42,Hefeweizen,16,Baxter Brewing Company,Lewiston, ME
206,Summer Swelter,1209,293,0.047,35,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston, ME
207,Phantom Punch Winter Stout,954,293,0.068,33,Foreign / Export Stout,12,Baxter Brewing Company,Lewiston, ME
208,Hayride Autumn Ale,910,293,0.066,70,Rye Beer,12,Baxter Brewing Company,Lewiston, ME
209,Celsius Summer Ale (2012),707,293,0.047,10,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston, ME
210,Amber Road,533,293,0.055,35,American Amber / Red Ale,12,Baxter Brewing Company,Lewiston, ME
211,Pamola Xtra Pale Ale,183,293,0.049,28,American Pale Ale (APA),12,Baxter Brewing Company,Lewiston, ME
212,Stowaway IPA,182,293,0.069,69,American IPA,12,Baxter Brewing Company,Lewiston, ME
213,Hoptopus Double IPA,1806,307,0.088,108,American Double / Imperial IPA,16,Beach Brewing Company,Virginia Beach, VA
214,Watermelon Ale,2435,104,0.05,10,Fruit / Vegetable Beer,12,Beer Works Brewery,Lowell, MA
215,Fenway American Pale Ale,2423,104,0.058,45,American Pale Ale (APA),12,Beer Works Brewery,Lowell, MA
216,Back Bay IPA,2420,104,0.068,85,American IPA,12,Beer Works Brewery,Lowell, MA
217,Bunker Hill Blueberry Ale ,2419,104,0.048,16,Other,12,Beer Works Brewery,Lowell, MA
218,Oberon,2494,77,0.058,44,American Pale Wheat Ale,12,Bell's Brewery,Kalamazoo, MI
219,Smitten,2325,77,0.06,23,Rye Beer,16,Bell's Brewery,Kalamazoo, MI
220,Winter White,2022,77,0.05,17,Witbier,16,Bell's Brewery,Kalamazoo, MI
221,Oberon,1989,77,0.058,43,American Pale Wheat Ale,16,Bell's Brewery,Kalamazoo, MI
222,Two Hearted,1988,77,0.07,6,American IPA,16,Bell's Brewery,Kalamazoo, MI
223,Best Brown,1955,77,0.058,60,American Brown Ale,16,Bell's Brewery,Kalamazoo, MI
224,Moar,2558,54,0.044,44,English India Pale Ale (IPA),12,Bent Brewstillery,Roseville, MN
225,Uber Lupin Schwarz IPA,2557,54,0.083,100,American Double / Imperial IPA,16,Bent Brewstillery,Roseville, MN
226,Nordic Blonde,2556,54,0.057,27,American Blonde Ale,12,Bent Brewstillery,Roseville, MN
227,Cold Press,2496,76,0.06,30,American Black Ale,12,Bent Paddle Brewing Company,Duluth, MN
228,Harness the Winter,2410,76,0.072,87,American IPA,12,Bent Paddle Brewing Company,Duluth, MN
229,14° ESB ,1902,76,0.056,32,Extra Special / Strong Bitter (ESB),12,Bent Paddle Brewing Company,Duluth, MN
230,Bent Hop Golden IPA,1901,76,0.062,68,American IPA,12,Bent Paddle Brewing Company,Duluth, MN
231,Bent Paddle Black Ale,1261,76,0.06,34,American Black Ale,12,Bent Paddle Brewing Company,Duluth, MN
232,Venture Pils,1253,76,0.05,38,German Pilsener,12,Bent Paddle Brewing Company,Duluth, MN
233,Lost Sailor IPA,1900,279,0.055,40,English India Pale Ale (IPA),12,Berkshire Brewing Company,South Deerfield, MA
234,Steel Rail Extra Pale Ale,1317,279,0.053,20,American Pale Ale (APA),12,Berkshire Brewing Company,South Deerfield, MA
235,La Frontera Premium IPA,1158,464,0.078,68,American IPA,12,Big Bend Brewing Company,Alpine, TX
236,Tejas Lager,1157,464,0.047,20,Czech Pilsener,12,Big Bend Brewing Company,Alpine, TX
237,Number 22 Porter,1156,464,0.064,62,American Porter,12,Big Bend Brewing Company,Alpine, TX
238,Big Bend Hefeweizen,1155,464,0.056,33,Hefeweizen,12,Big Bend Brewing Company,Alpine, TX
239,Terlingua Gold,1154,464,0.06,36,American Blonde Ale,12,Big Bend Brewing Company,Alpine, TX
240,Aprè Shred,2104,221,0.081,17,American Strong Ale,16,Big Choice Brewing,Broomfield, CO
241,Hemlock Double IPA,1762,221,0.095,104,American Double / Imperial IPA,12,Big Choice Brewing,Broomfield, CO
242,West Portal Colorado Common Summer Ale,1422,221,0.041,8,California Common / Steam Beer,16,Big Choice Brewing,Broomfield, CO
243,Disconnected Red,1067,221,0.067,85,American Amber / Red Ale,16,Big Choice Brewing,Broomfield, CO
244,Big Elm IPA,1003,478,0.07,69,American IPA,12,Big Elm Brewing,Sheffield, MA
245,Gerry Dog Stout,1002,478,0.065,45,American Stout,12,Big Elm Brewing,Sheffield, MA
246,413 Farmhouse Ale,1001,478,0.06,50,Saison / Farmhouse Ale,12,Big Elm Brewing,Sheffield, MA
247,Dark Star,2639,9,0.08,54,American Stout,16,Big Lake Brewing,Holland, MI
248,Ryecoe,2469,9,0.062,35,American IPA,16,Big Lake Brewing,Holland, MI
249,Blueberry Blonde,2586,41,0.06,55,Fruit / Vegetable Beer,12,Big Muddy Brewing,Murphysboro, IL
250,Galaxy IPA,2585,41,0.075,60,American IPA,16,Big Muddy Brewing,Murphysboro, IL
251,Big River Pilsner,643,520,0.05,32,Czech Pilsener,12,Big River Brewing Company,Chattanooga, TN
252,House Brand IPA,632,520,0.06,55,American IPA,12,Big River Brewing Company,Chattanooga, TN
253,Big Sky IPA,1714,337,0.062,65,American IPA,12,Big Sky Brewing Company,Missoula, MT
254,Scape Goat Pale Ale,1713,337,0.05,40,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT
255,Montana Trout Slayer Ale,1712,337,0.05,35,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
256,Moose Drool Brown Ale,1711,337,0.051,26,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
257,Powder Hound Winter Ale,1456,337,0.072,60,English Strong Ale,12,Big Sky Brewing Company,Missoula, MT
258,Moose Drool Brown Ale (2011),767,337,0.051,26,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
259,Montana Trout Slayer Ale (2012),766,337,0.05,35,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
260,Big Sky IPA (2012),579,337,0.062,65,American IPA,12,Big Sky Brewing Company,Missoula, MT
261,Summer Honey,168,337,0.047,15,American Blonde Ale,12,Big Sky Brewing Company,Missoula, MT
262,Scape Goat Pale Ale (2010),159,337,0.05,40,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT
