,Beer_Name,Beer_ID,Brew_ID,ABV,IBU,Style,Ounces,Brewery_Name,City,State
771,Hipster Ale (Westbrook Brewing),640,174,0.055,45,American Pale Ale (APA),12,Evil Twin Brewing,Brooklyn, NY
772,Iron Horse Pale Ale,1722,336,0.05,32,American Pale Ale (APA),12,Fargo Brewing Company,Fargo, ND
773,Stone's Throw IPA,1435,336,0.045,19,Scottish Ale,12,Fargo Brewing Company,Fargo, ND
774,Wood Chipper India Pale Ale,1434,336,0.067,70,American IPA,12,Fargo Brewing Company,Fargo, ND
775,Trail Head,2089,225,0.063,55,American Pale Ale (APA),12,Fat Head's Brewery,Middleburg Heights, OH
776,Hop Stalker Fresh Hop IPA,2088,225,0.07,80,American IPA,16,Fat Head's Brewery,Middleburg Heights, OH
777,Sudice American Stout,1455,406,0.07,58,American Stout,16,Fate Brewing Company,Boulder, CO
778,Parcae Belgian Style Pale Ale,1454,406,0.05,20,Belgian Pale Ale,16,Fate Brewing Company,Boulder, CO
779,Norns Roggenbier,1453,406,0.05,20,Roggenbier,16,Fate Brewing Company,Boulder, CO
780,Laimas Kölsch Style Ale,1452,406,0.05,20,Kölsch,16,Fate Brewing Company,Boulder, CO
781,Moirai India Pale Ale,1451,406,0.07,70,American IPA,16,Fate Brewing Company,Boulder, CO
782,Loki Red Ale,2191,202,0.075,53,American Amber / Red Ale,16,Fearless Brewing Company,Estacada, OR
783,Peaches & Cream,1731,202,0.046,42,Fruit / Vegetable Beer,16,Fearless Brewing Company,Estacada, OR
784,Quaff India Style Session Ale,1022,202,0.051,27,American IPA,16,Fearless Brewing Company,Estacada, OR
785,Loki Red Ale (2013),895,202,0.075,53,American Amber / Red Ale,16,Fearless Brewing Company,Estacada, OR
786,Mjolnir Imperial IPA,682,202,0.069,65,American Double / Imperial IPA,16,Fearless Brewing Company,Estacada, OR
787,Fearless Scottish Ale,112,202,0.05,35,Scottish Ale,16,Fearless Brewing Company,Estacada, OR
788,Mastermind,2289,173,0.081,23,American Double / Imperial IPA,12,Fiddlehead Brewing Company,Shelburne, VT
789,Hyzer Flip,2027,173,0.082,35,American Double / Imperial IPA,16,Fiddlehead Brewing Company,Shelburne, VT
790,Second Fiddle,1929,173,0.082,80,American Double / Imperial IPA,16,Fiddlehead Brewing Company,Shelburne, VT
791,Hodad Porter,1858,173,0.055,30,American Porter,16,Fiddlehead Brewing Company,Shelburne, VT
792,Weiss Weiss Baby,2591,37,0.045,17,Kristalweizen,12,Figueroa Mountain Brewing Company,Buellton, CA
793,Czech Yo Self,2590,37,0.055,45,Czech Pilsener,12,Figueroa Mountain Brewing Company,Buellton, CA
794,FMB 101,1968,37,0.048,20,Kölsch,12,Figueroa Mountain Brewing Company,Buellton, CA
795,Hardcore Chimera,1981,257,0.09,29,American Double / Imperial IPA,16,Finch's Beer Company,Chicago, IL
